,categoria,catUso,cov_type,,sumdensity,,wintdensity,,ssnowintercept,,rdepth
0,CASERIO,27,0,27,0,27,0,27,0.05,27,0
1,AERODROMO,1,0,1,0,1,0,1,0.05,1,0
3,PUEBLO,75,0,75,0,75,0,75,0.05,75,0
4,CIUDAD,30,0,30,0,30,0,30,0.05,30,0
5,AREA RECREACIONAL,4,0,4,0,4,0,4,0.05,4,0
7,CEMENTERIO,28,0,28,0,28,0,28,0.05,28,0
14,OTRAS AREAS ARTIFICIALES,62,0,62,0,62,0,62,0.05,62,0
15,MINERIA INDUSTRIAL,60,0,60,0,60,0,60,0.05,60,0
17,CAMINOS,26,0,26,0,26,0,26,0.05,26,0
19,BOSQUE NATIVO PLANTACION MUY ABIERTO,19,3,19,25,19,25,19,0.04,19,36
20,BOSQUE NATIVO PLANTACION SEMIDENSO,20,3,20,75,20,75,20,0.04,20,36
22,BOSQUE NATIVO PLANTACION ABIERTO,17,3,17,50,17,50,17,0.04,17,36
23,BOSQUE NATIVO CON EXOTICAS ASILVESTRADAS ABIERTO,13,3,13,75,13,75,13,0.04,13,36
27,BOSQUE NATIVO CON EXOTICAS ASILVESTRADAS SEMIDENSO,16,3,16,75,16,75,16,0.04,16,36
30,BOSQUE NATIVO CON EXOTICAS ASILVESTRADAS DENSO,14,3,14,95,14,95,14,0.04,14,36
31,BOSQUE NATIVO CON EXOTICAS ASILVESTRADAS MUY ABIERTO,15,3,15,25,15,25,15,0.04,15,36
32,BOSQUE NATIVO PLANTACION DENSO,18,3,18,90,18,90,18,0.04,18,36
34,BOSQUE NATIVO RENOVAL MUY ABIERTO,23,3,23,25,23,25,23,0.04,23,36
35,BOSQUE NATIVO RENOVAL SEMIDENSO,24,3,24,75,24,75,24,0.04,24,36
36,BOSQUE NATIVO RENOVAL ABIERTO,21,3,21,25,21,25,21,0.04,21,36
41,BOSQUE NATIVO RENOVAL DENSO,22,3,22,90,22,90,22,0.04,22,36
73,BOSQUE NATIVO ADULTO SEMIDENSO,12,3,12,25,12,25,12,0.04,12,36
91,BOSQUE NATIVO ADULTO ABIERTO,7,3,7,25,7,25,7,0.04,7,36
146,BOSQUE NATIVO ADULTO RENOVAL SEMIDENSO,11,3,11,25,11,25,11,0.04,11,36
267,PARCELACION,65,1,65,90,65,90,65,0.04,65,18
271,RIO,76,0,76,0,76,0,76,0,76,0
272,LAGO-LAGUNA,40,0,40,0,40,0,40,0,40,0
273,EMBALSE-TRANQUE-CANAL,33,0,33,0,33,0,33,0,33,0
274,OTRO TERRENO HUMEDO,63,0,63,0,63,0,63,0.02,63,18
275,PLANTACION JOVEN O RECIEN COSECHADA,70,2,70,95,70,95,70,0.02,70,18
278,PLANTACION EUCALIPTO,68,3,68,75,68,75,68,0.02,68,18
286,PLANTACION PINO,71,3,71,75,71,75,71,0.02,71,18
289,MATORRAL ARBORESCENTE MUY ABIERTO,46,2,46,25,46,25,46,0.02,46,24
290,MATORRAL PRADERA MUY ABIERTO,57,2,57,25,57,25,57,0.02,57,24
291,MATORRAL ARBORESCENTE ABIERTO,44,2,44,25,44,25,44,0.02,44,24
292,MATORRAL SEMIDENSO,59,2,59,75,59,75,59,0.02,59,24
293,MATORRAL PRADERA ABIERTO,55,2,55,25,55,25,55,0.02,55,24
295,MATORRAL DENSO,52,2,52,90,52,90,52,0.02,52,24
296,MATORRAL PRADERA SEMIDENSO,58,2,58,75,58,75,58,0.02,58,24
297,MATORRAL ABIERTO,42,2,42,25,42,25,42,0.02,42,24
304,MATORRAL MUY ABIERTO,53,2,53,25,53,25,53,0.02,53,24
308,MATORRAL PRADERA DENSO,56,2,56,95,56,95,56,0.02,56,24
315,MATORRAL ARBORESCENTE SEMIDENSO,47,2,47,75,47,75,47,0.02,47,24
345,MATORRAL CON SUCULENTAS ABIERTO,48,2,48,25,48,25,48,0.02,48,24
346,MATORRAL CON SUCULENTAS SEMIDENSO,51,2,51,75,51,75,51,0.02,51,24
353,MATORRAL ARBORESCENTE DENSO,45,2,45,95,45,95,45,0.02,45,24
411,MATORRAL CON SUCULENTAS MUY ABIERTO,50,2,50,25,50,25,50,0.02,50,24
442,MATORRAL CON SUCULENTAS DENSO,49,2,49,95,49,95,49,0.02,49,24
536,MATORRAL PRADERA,54,2,54,95,54,95,54,0.02,54,24
538,PRADERA ANUAL,73,1,73,95,73,95,73,0.02,73,18
651,OTROS USOS AGRICOLAS,64,1,64,95,64,95,64,0.02,64,18
652,FRUTAL,37,3,37,95,37,0,37,0.02,37,18
658,AREA EDUCACIONAL,3,0,3,0,3,0,3,0.02,3,0
660,PLAYAS Y DUNAS,72,0,72,0,72,0,72,0.02,72,0
661,MATORRAL,41,1,41,75,41,75,41,0.02,41,18
663,TERRENOS SIN VEGETACION,79,0,79,0,79,0,79,0.02,79,0
809,BOSQUE NATIVO,5,3,5,75,5,75,5,0.02,5,36
823,ESTERO,35,0,35,0,35,0,35,0.02,35,0
829,VEGAS,80,1,80,75,80,75,80,0.02,80,18
1083,ZONAS AGRO INDUSTRIALES Y PECUARIAS,84,1,84,95,84,95,84,0.02,84,18
1114,ROTACION CULTIVO PRADERA,77,1,77,95,77,95,77,0.02,77,18
1118,CENTRO DE CULTO,29,0,29,0,29,0,29,0.02,29,0
1122,BOSQUE NATIVO ACHAPARRADO MUY ABIERTO,6,3,6,25,6,25,6,0.02,6,36
1419,ZONA DE EXTRACCION,82,0,82,0,82,0,82,0.02,82,0
1427,ZONA INDUSTRIAL,83,0,83,0,83,0,83,0.02,83,0
1480,BOSQUE NATIVO ADULTO DENSO,8,3,8,95,8,95,8,0.02,8,36
1573,PLANTACION ACACIAS,66,3,66,95,66,95,66,0.02,66,18
1581,PLANTACION FORESTAL,69,3,69,95,69,95,69,0.02,69,18
1637,FLORES,36,1,36,95,36,0,36,0.02,36,18
1639,CULTIVO ANUAL,31,1,31,95,31,95,31,0.02,31,18
1656,TERRENO EN BARBECHO,78,2,78,95,78,95,78,0.02,78,18
1661,HORTALIZAS,39,1,39,95,39,95,39,0.02,39,18
1680,CULTIVO BAJO PLASTICO,32,1,32,50,32,50,32,0.02,32,18
1683,PRADERA ARTIFICIAL,74,1,74,95,74,95,74,0.02,74,18
1695,VINA Y PARRONAL,81,3,81,95,81,95,81,0.02,81,18
1750,AFLORAMIENTO ROCOSO,2,0,2,0,2,0,2,0.04,2,0
1751,CAJA DE RIO,25,0,25,0,25,0,25,0,25,0
1804,BOSQUE NATIVO ADULTO RENOVAL ABIERTO,10,3,10,50,10,50,10,0.04,10,36
1863,BOSQUE NATIVO ADULTO MUY ABIERTO,9,3,9,25,9,25,9,0.04,9,36
1987,PLANTACION CON EXOTICAS ASILVESTRADAS,67,2,67,95,67,95,67,0.04,67,18
2594,ESTEPA ANDINA CENTRAL,34,2,34,95,34,95,34,0.04,34,18
2596,MATORRAL ARBORESCENTE,43,2,43,95,43,95,43,0.04,43,18
40230,GLACIAR,38,0,38,0,38,0,38,0.05,38,0
40552,NIEVE,61,0,61,0,61,0,61,0.1,61,0
