Date,StreamOut_Q,HortSroff2Stream_Q,DunnSroff2Stream_Q,Interflow2Stream_Q,Stream2Unsat_Q,StreamExchng2Sat_Q,Canopy_S,SnowPweqv_S,Imperv_S,Dprst_S,Cap_S,Grav_S,Unsat_S,Sat_S,UnsatStream_S,Lake_S,Stream_S,Precip_Q,NetBoundaryFlow2Sat_Q,NetWellFlow_Q,BoundaryStreamFlow_Q,CanopyEvap_Q,SnowEvap_Q,ImpervEvap_Q,DprstEvap_Q,CapET_Q,SwaleEvap_Q,UnsatET_Q,SatET_Q,LakeEvap_Q,DunnInterflow2Lake_Q,HortSroff2Lake_Q,Lake2Unsat_Q,LakeExchng2Sat_Q,SoilDrainage2Unsat_Q,Sat2Grav_Q,RechargeUnsat2Sat_Q,Infil2Soil_Q,KKITER
08/01/1982,  0.9879876E+04,  0.0000000E+00,  0.3067231E+03,  0.0000000E+00,  0.0000000E+00, -0.9573254E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2903533E+06,  0.1774099E+02,  0.1201232E+08,  0.3248790E+09,  0.9302665E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963968E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1464521E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1361906E+05,  0.2216795E+05,  0.0000000E+00,    5
08/02/1982,  0.9567012E+04,  0.0000000E+00,  0.1358683E-02,  0.0000000E+00,  0.0000000E+00, -0.9558363E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2814891E+06,  0.1357152E+05,  0.1199027E+08,  0.3248775E+09,  0.9302833E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963963E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8882011E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1357163E+05,  0.2208672E+05,  0.0000000E+00,    1
08/03/1982,  0.9845340E+04,  0.0000000E+00,  0.3005272E+03,  0.0000000E+00,  0.0000000E+00, -0.9537084E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2846903E+06,  0.1353417E+05,  0.1196833E+08,  0.3248759E+09,  0.9303082E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963956E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1006980E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1353417E+05,  0.2197966E+05,  0.0000000E+00,    1
08/04/1982,  0.9823005E+04,  0.0000000E+00,  0.2951389E+03, -0.2993912E-08,  0.0000000E+00, -0.9520272E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2869890E+06,  0.1359402E+05,  0.1194648E+08,  0.3248743E+09,  0.9303411E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963947E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1084598E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1349963E+05,  0.2188313E+05,  0.0000000E+00,    1
08/05/1982,  0.9802238E+04,  0.0000000E+00,  0.2903615E+03, -0.4790259E-07,  0.0000000E+00, -0.9504507E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2878038E+06,  0.1396762E+05,  0.1192473E+08,  0.3248727E+09,  0.9303835E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963935E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1198903E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1346785E+05,  0.2178619E+05,  0.0000000E+00,    1
08/06/1982,  0.9782655E+04,  0.0000000E+00,  0.2861081E+03,  0.6594319E-01,  0.0000000E+00, -0.9489127E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2856987E+06,  0.1448173E+05,  0.1190309E+08,  0.3248711E+09,  0.9304402E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963923E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1474332E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1343844E+05,  0.2167746E+05,  0.0000000E+00,    1
08/07/1982,  0.9763987E+04,  0.0000000E+00,  0.2823059E+03,  0.1336941E+01,  0.0000000E+00, -0.9474276E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2830050E+06,  0.1516206E+05,  0.1188155E+08,  0.3248694E+09,  0.9305145E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963909E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1514074E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1341106E+05,  0.2157803E+05,  0.0000000E+00,    1
08/08/1982,  0.1010920E+05,  0.7136563E-01,  0.5426614E+03,  0.2495415E+03,  0.0000000E+00, -0.9453724E+04,  0.1612806E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3008858E+06,  0.1947540E+05,  0.1186010E+08,  0.3248676E+09,  0.9306077E+03,  0.0000000E+00,  0.0000000E+00,  0.3759348E+05, -0.3963893E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.2353399E+02,  0.0000000E+00,  0.1184183E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1856911E+00,  0.1338652E+05,  0.2148540E+05,  0.2144181E+05,    1
08/09/1982,  0.9925667E+04,  0.0000000E+00,  0.7811595E+03,  0.2180410E+03,  0.0000000E+00, -0.9433311E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3008221E+06,  0.1951767E+05,  0.1183873E+08,  0.3248659E+09,  0.9307197E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963876E+03,  0.0000000E+00,  0.0000000E+00,  0.1612806E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1238663E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.4334520E+00,  0.1336482E+05,  0.2140186E+05,  0.0000000E+00,    1
08/10/1982,  0.1040367E+05,  0.0000000E+00,  0.7551115E+03,  0.2727848E+03,  0.0000000E+00, -0.9406604E+04,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.3009170E+06,  0.1956552E+05,  0.1181745E+08,  0.3248641E+09,  0.9308549E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00, -0.3963859E+03,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.1217602E+05,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.8267202E+00,  0.1334749E+05,  0.2132212E+05,  0.0000000E+00,    1
